breakfast,lunch,dinner
No Breakfast,Local Shredded Parmesan,Local Shredded Parmesan
No Breakfast,Grilled Chicken Breast,Grilled Chicken Breast
No Breakfast,Kimchi,Kimchi
No Breakfast,Marinated Artichoke Hearts,Marinated Artichoke Hearts
No Breakfast,Hummus,Hummus
No Breakfast,Diced Ham,Diced Ham
No Breakfast,Kalamata Olives,Kalamata Olives
No Breakfast,Spinach,Spinach
No Breakfast,Tofu (Locally Produced),Tofu (Locally Produced)
No Breakfast,Red Onions,Red Onions
No Breakfast,Green Bell Pepper,Green Bell Pepper
No Breakfast,Red Bell Pepper,Red Bell Pepper
No Breakfast,Bacon Bits,Bacon Bits
No Breakfast,Quinoa Tri Color,Quinoa Tri Color
No Breakfast,Grape Tomatoes,Grape Tomatoes
No Breakfast,Apple Gala,Apple Gala
No Breakfast,Banana,Banana
No Breakfast,Cantaloupe Chunks,Cantaloupe Chunks
No Breakfast,Watermelon Chunks,Watermelon Chunks
No Breakfast,Mandarin Oranges,Mandarin Oranges
No Breakfast,Ranch Dressing,Ranch Dressing
No Breakfast,Balsamic Vinaigrette Dressing,Balsamic Vinaigrette Dressing
No Breakfast,Chunky Bleu Cheese Dressing,Chunky Bleu Cheese Dressing
No Breakfast,Creamy Caesar Dressing,Creamy Caesar Dressing
No Breakfast,French Country Dressing,French Country Dressing
No Breakfast,Dijon Honey Mustard Dressing,Dijon Honey Mustard Dressing
No Breakfast,Golden Italian Dressing,Golden Italian Dressing
No Breakfast,Sesame Dressing,Sesame Dressing
No Breakfast,Thousand Island Dressing,Thousand Island Dressing
No Breakfast,Greek Vinaigrette,Greek Vinaigrette
No Breakfast,Fat Free Raspberry Vinaigrette,Fat Free Raspberry Vinaigrette
No Breakfast,White Balsamic Vinaigrette,White Balsamic Vinaigrette
No Breakfast,Olive Oil,Olive Oil
No Breakfast,Red Wine Vinegar,Red Wine Vinegar
No Breakfast,Citrus Chipotle BBQ Chicken,Chicken Cordon Bleu
No Breakfast,Vegan Smoked Tofu Ratatouille,Pork Loin with Maple Mustard Sauce
No Breakfast,Steamed Baby Carrots with Dill,Vegan Smoked Tofu Ratatouille
No Breakfast,Steamed Capri Blend Vegetables,Pierogies with Brown Butter
No Breakfast,Roasted Fingerling Potatoes,Roasted Carrots & Parsnips
No Breakfast,Sweet Potato Mash,Rosemary Roasted Potatoes
No Breakfast,Breakfast Bacon Pizza,Steamed Scandinavian Vegetable Blend
No Breakfast,Breakfast Chorizo Pizza,Marinara Sauce
No Breakfast,Tater Tot Enchilada Bake,Meatball Sauce
No Breakfast,Scrambled Eggs (locally sourced),Cheese Ravioli
No Breakfast,Crispy Bacon,Cheese Pizza
No Breakfast,French Toast Sticks,Hawaiian Pizza
No Breakfast,Deep Fried Potato Rounds,Sausage & Pepperoni Pizza
No Breakfast,Build Your Own Burrito/Taco/Bowl,Bosco Sticks
No Breakfast,Chorizo Crumbles,Rigate Penne Pasta
No Breakfast,Scrambled Eggs (locally sourced),Spring Rolls
No Breakfast,Tofu Taco Crumbles,Honey Chicken
No Breakfast,Bacon Crumbles,Brown Rice
No Breakfast,Pork Sausage Crumbles,White Rice
No Breakfast,Queso,Sesame Broccoli
No Breakfast,Deep Fried Potato Rounds,Halal Burger
No Breakfast,Deep Fried Potato Rounds,Plant Based Vegan Burger
No Breakfast,Tortilla Chips,Charbroiled Hamburger
No Breakfast,Corn Hard Shell Taco,Grilled Chicken Breast
No Breakfast,White Corn Tortilla,Chicken Breast Halal
No Breakfast,Flour Tortilla,Fried Chicken Patty
No Breakfast,Flour Tortilla,Deep Fried Twister French Fries
No Breakfast,Guacamole,Gluten Free Hamburger Bun
No Breakfast,Lime Wedges,Homestyle Brioche Bun
No Breakfast,Shredded Cheddar Jack,Green Leaf Lettuce
No Breakfast,Diced Roma Tomatoes,Sliced American Cheese
No Breakfast,Shredded Lettuce,Pickle Fillets
No Breakfast,Sliced Jalapeno Peppers,Sliced Tomato
No Breakfast,Pico De Gallo,Red Onions
No Breakfast,Flame Roasted Corn & Black Beans,Brown Sugar Chai Cookie Vegan
No Breakfast,Medium Salsa with Green Chilis,Cheesecake
No Breakfast,Salsa Verde,Sugar Cookie
No Breakfast,Sour Cream (Locally Sourced),Puppy Chow
No Breakfast,Fire Roasted Salsa,Gluten Free Chicken Strips
No Breakfast,Mango Salsa,Gluten Free Cheese Pizza
No Breakfast,Cinnamon Rolls,Gluten Free Pepperoni Pizza
No Breakfast,Chocolate Chip Scones,Ham & Swiss Sandwich GF
No Breakfast,Snickerdoodle Cheesecake Bars,PBJ Grape Sandwich GF
No Breakfast,Brown Sugar Chai Cookie Vegan,Turkey Provolone Sandwich GF
No Breakfast,Sugar Cookie,Veggie Sandwich GF
No Breakfast,Puppy Chow,Gluten Free Cinnamon Raisin Bagel
No Breakfast,Gluten Free Chicken Strips,Gluten Free Everything Bagel
No Breakfast,Gluten Free Cheese Pizza,Gluten Free Bagel
No Breakfast,Gluten Free Pepperoni Pizza,Gluten Free Hamburger Bun
No Breakfast,Ham & Swiss Sandwich GF,Gluten Free Blueberry Muffin
No Breakfast,PBJ Grape Sandwich GF,Gluten Free Brownie
No Breakfast,Turkey Provolone Sandwich GF,Gluten Free Chocolate Chip Cookie
No Breakfast,Veggie Sandwich GF,Gluten Free Apple & Cinnamon Oatmeal
No Breakfast,Gluten Free Cinnamon Raisin Bagel,Gluten Free Oatmeal
No Breakfast,Gluten Free Everything Bagel,Gluten Free Maple Brown Sugar Oatmeal
No Breakfast,Gluten Free Bagel,Ranch
No Breakfast,Gluten Free Hamburger Bun,Ketchup
No Breakfast,Gluten Free Blueberry Muffin,Mayonnaise
No Breakfast,Gluten Free Brownie,A1 Steak Sauce
No Breakfast,Gluten Free Chocolate Chip Cookie,Yellow Mustard
No Breakfast,Gluten Free Apple & Cinnamon Oatmeal,BBQ Sauce
No Breakfast,Gluten Free Oatmeal,Buffalo Sauce
No Breakfast,Gluten Free Maple Brown Sugar Oatmeal,Cholula Hot Sauce 5oz
No Breakfast,Ranch,Red Tabasco
No Breakfast,Ketchup,Heinz 57 Steak Sauce
No Breakfast,Mayonnaise,Chipotle Pepper Tabasco Sauce
No Breakfast,A1 Steak Sauce,Tabasco Green Pepper Sauce
No Breakfast,Yellow Mustard,Worcestershire Sauce
No Breakfast,BBQ Sauce,Malt Vinegar
No Breakfast,Buffalo Sauce,2% Milk (Produced Locally)
No Breakfast,Cholula Hot Sauce 5oz,Milk Almond Vanilla Unsweetened
No Breakfast,Red Tabasco,Skim Chocolate Milk (Produced Locally)
No Breakfast,Heinz 57 Steak Sauce,Skim Milk (Produced Locally)
No Breakfast,Chipotle Pepper Tabasco Sauce,Chocolate Soy Milk
No Breakfast,Tabasco Green Pepper Sauce,Vanilla Soy Milk
No Breakfast,Worcestershire Sauce,Apple Juice
No Breakfast,Malt Vinegar,Orange Juice
No Breakfast,2% Milk (Produced Locally),Tropical Mango Juice
No Breakfast,Milk Almond Vanilla Unsweetened,Vitamin Water Essential
No Breakfast,Skim Chocolate Milk (Produced Locally),Vitamin Water Squeezed
No Breakfast,Skim Milk (Produced Locally),Vitamin Water XXX
No Breakfast,Chocolate Soy Milk,Starbucks Estima Blend Coffee
No Breakfast,Vanilla Soy Milk,Starbucks Pike Place Roast Decaf Coffee
No Breakfast,Apple Juice,MP Cappuccino English Toffee
No Breakfast,Orange Juice,French Vanilla Cappuccino
No Breakfast,Tropical Mango Juice,Hot Chocolate
No Breakfast,Vitamin Water Essential,Breakfast Blend Black Tea
No Breakfast,Vitamin Water Squeezed,Chamomile Blush Tea
No Breakfast,Vitamin Water XXX,Classic Chai Tea
No Breakfast,Starbucks Estima Blend Coffee,Ginger Peach Tea
No Breakfast,Starbucks Pike Place Roast Decaf Coffee,Harmonic Mint Tea
No Breakfast,MP Cappuccino English Toffee,Hibiscus Spice Tea
No Breakfast,French Vanilla Cappuccino,Modern Earl Grey Tea
No Breakfast,Hot Chocolate,Radiant Green Tea
No Breakfast,Breakfast Blend Black Tea,Barqs Root Beer
No Breakfast,Chamomile Blush Tea,Cherry Coke
No Breakfast,Classic Chai Tea,Coke Classic
No Breakfast,Ginger Peach Tea,Diet Coke
No Breakfast,Harmonic Mint Tea,Fanta Cherry Coke
No Breakfast,Hibiscus Spice Tea,Fanta Orange
No Breakfast,Modern Earl Grey Tea,Coke Zero
No Breakfast,Radiant Green Tea,Diet Cranberry Juice
No Breakfast,Barqs Root Beer,Fresca
No Breakfast,Cherry Coke,Fuze Raspberry Tea
No Breakfast,Coke Classic,Gold Peak Sweet Tea
No Breakfast,Diet Coke,Gold Peak Unsweetened Tea
No Breakfast,Fanta Cherry Coke,Kiwi Strawberry Juice
No Breakfast,Fanta Orange,Minute Maid Lemonade
No Breakfast,Coke Zero,Pibb Xtra
No Breakfast,Diet Cranberry Juice,Powerade Fruit Punch
No Breakfast,Fresca,Powerade Mountain Blast
No Breakfast,Fuze Raspberry Tea,Sprite
No Breakfast,Gold Peak Sweet Tea,Sprite Zero
No Breakfast,Gold Peak Unsweetened Tea,Coffee Creamer
No Breakfast,Kiwi Strawberry Juice,French Vanilla Creamer
No Breakfast,Minute Maid Lemonade,Hazelnut Creamer
No Breakfast,Pibb Xtra,Half & Half
No Breakfast,Powerade Fruit Punch,Honey (made locally)
No Breakfast,Powerade Mountain Blast,Sugar in the Raw Packet
No Breakfast,Sprite,Sugar Packet
No Breakfast,Sprite Zero,Stevia Packet
No Breakfast,Coffee Creamer,Caramel Syrup
No Breakfast,French Vanilla Creamer,Hazelnut Syrup
No Breakfast,Hazelnut Creamer,Vanilla Syrup
No Breakfast,Half & Half,Sugar Free Vanilla Syrup
